Match Link,Date,Match Type
https://stats.espncricinfo.com/ci/engine/match/1384439.html,19 Nov 2023,ODI
https://stats.espncricinfo.com/ci/engine/match/1442990.html,2 Aug 2024,ODI
https://stats.espncricinfo.com/ci/engine/match/1442991.html,4 Aug 2024,ODI
https://stats.espncricinfo.com/ci/engine/match/1442992.html,7 Aug 2024,ODI
https://stats.espncricinfo.com/ci/engine/match/489226.html,20 Jun 2011,Test
https://stats.espncricinfo.com/ci/engine/match/489227.html,28 Jun 2011,Test
https://stats.espncricinfo.com/ci/engine/match/489228.html,6 Jul 2011,Test
https://stats.espncricinfo.com/ci/engine/match/535999.html,22 Nov 2011,Test
https://stats.espncricinfo.com/ci/engine/match/518950.html,26 Dec 2011,Test
https://stats.espncricinfo.com/ci/engine/match/518951.html,3 Jan 2012,Test
https://stats.espncricinfo.com/ci/engine/match/518952.html,13 Jan 2012,Test
https://stats.espncricinfo.com/ci/engine/match/518953.html,24 Jan 2012,Test
https://stats.espncricinfo.com/ci/engine/match/565817.html,23 Aug 2012,Test
https://stats.espncricinfo.com/ci/engine/match/565818.html,31 Aug 2012,Test
https://stats.espncricinfo.com/ci/engine/match/565806.html,15 Nov 2012,Test
https://stats.espncricinfo.com/ci/engine/match/565807.html,23 Nov 2012,Test
https://stats.espncricinfo.com/ci/engine/match/565808.html,5 Dec 2012,Test
https://stats.espncricinfo.com/ci/engine/match/565809.html,13 Dec 2012,Test
https://stats.espncricinfo.com/ci/engine/match/598812.html,22 Feb 2013,Test
https://stats.espncricinfo.com/ci/engine/match/598813.html,2 Mar 2013,Test
https://stats.espncricinfo.com/ci/engine/match/598814.html,14 Mar 2013,Test
https://stats.espncricinfo.com/ci/engine/match/598815.html,22 Mar 2013,Test
https://stats.espncricinfo.com/ci/engine/match/676525.html,6 Nov 2013,Test
https://stats.espncricinfo.com/ci/engine/match/676527.html,14 Nov 2013,Test
https://stats.espncricinfo.com/ci/engine/match/648665.html,18 Dec 2013,Test
https://stats.espncricinfo.com/ci/engine/match/648667.html,26 Dec 2013,Test
https://stats.espncricinfo.com/ci/engine/match/667651.html,6 Feb 2014,Test
https://stats.espncricinfo.com/ci/engine/match/667653.html,14 Feb 2014,Test
https://stats.espncricinfo.com/ci/engine/match/667711.html,9 Jul 2014,Test
https://stats.espncricinfo.com/ci/engine/match/667713.html,17 Jul 2014,Test
https://stats.espncricinfo.com/ci/engine/match/667715.html,27 Jul 2014,Test
https://stats.espncricinfo.com/ci/engine/match/667717.html,7 Aug 2014,Test
https://stats.espncricinfo.com/ci/engine/match/667719.html,15 Aug 2014,Test
https://stats.espncricinfo.com/ci/engine/match/754737.html,9 Dec 2014,Test
https://stats.espncricinfo.com/ci/engine/match/754739.html,17 Dec 2014,Test
https://stats.espncricinfo.com/ci/engine/match/754741.html,26 Dec 2014,Test
https://stats.espncricinfo.com/ci/engine/match/754743.html,6 Jan 2015,Test
https://stats.espncricinfo.com/ci/engine/match/870729.html,10 Jun 2015,Test
https://stats.espncricinfo.com/ci/engine/match/895773.html,12 Aug 2015,Test
https://stats.espncricinfo.com/ci/engine/match/895775.html,20 Aug 2015,Test
https://stats.espncricinfo.com/ci/engine/match/895777.html,28 Aug 2015,Test
https://stats.espncricinfo.com/ci/engine/match/903603.html,5 Nov 2015,Test
https://stats.espncricinfo.com/ci/engine/match/903605.html,14 Nov 2015,Test
https://stats.espncricinfo.com/ci/engine/match/903607.html,25 Nov 2015,Test
https://stats.espncricinfo.com/ci/engine/match/903609.html,3 Dec 2015,Test
https://stats.espncricinfo.com/ci/engine/match/1022593.html,21 Jul 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1022595.html,30 Jul 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1022597.html,9 Aug 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1022599.html,18 Aug 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1030213.html,22 Sep 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1030215.html,30 Sep 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1030217.html,8 Oct 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1034809.html,9 Nov 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1034811.html,17 Nov 2016,Test
https://stats.espncricinfo.com/ci/engine/match/1034813.html,26 Nov 2016,Test
